,Title,Year,imdbID,Rated,Director,Actors,Language,Plot,IMDb_link,Runtime,BoxOffice,IMDb,RT,Meta,poster_path,backdrop_path,Watched,Season
24,Back to the Future Part II,1989,tt0096874,PG,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson",English,"After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip.",https://www.imdb.com/title/tt0096874,108,119000002.0,7.8,63.0,57.0,/hQq8xZe5uLjFzSBt4LanNP7SQjl.jpg,/skQN2UMQKQnOTmwplcYMx6ZF4jS.jpg,False,7.0
25,Back to the Future Part III,1990,tt0099088,PG,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Mary Steenburgen",English,"Stranded in 1955, Marty McFly learns about the death of Doc Brown in 1885 and must travel back in time to save him. With no fuel readily available for the DeLorean, the two must figure how to escape the Old West before Emmett is m...",https://www.imdb.com/title/tt0099088,118,88277583.0,7.4,81.0,55.0,/crzoVQnMzIrRfHtQw0tLBirNfVg.jpg,/vKp3NvqBkcjHkCHSGi6EbcP7g4J.jpg,False,7.0
26,Barbarella,1968,tt0062711,PG,Roger Vadim,"Jane Fonda, John Phillip Law, Anita Pallenberg","English, French","In the 41st century, an astronaut partakes in sexy misadventures while seeking to stop an evil scientist who threatens to unleash a powerful weapon upon the galaxy.",https://www.imdb.com/title/tt0062711,98,,5.9,75.0,51.0,/kfaRSR3geV3I65icyHWBBEsE9u.jpg,/gY8essk1UcNZMK3VRkPpdaUQLDQ.jpg,True,2.0
27,Battlefield Earth,2000,tt0185183,PG-13,Roger Christian,"John Travolta, Forest Whitaker, Barry Pepper",English,"It's the year 3000 A.D., and the Earth is lost to the alien race of Psychlos. Humanity is enslaved by these gold-thirsty tyrants, who are unaware that their 'man-animals' are about to ignite the rebellion of a lifetime.",https://www.imdb.com/title/tt0185183,117,21471685.0,2.5,3.0,9.0,/wXCRuBHdJ5aTFQdsuGJFXNdo79T.jpg,/sKTTPiNq6tgBpecmoHAvmqG4I4K.jpg,True,1.0
28,Bill & Ted's Excellent Adventure,1989,tt0096928,PG,Stephen Herek,"Keanu Reeves, Alex Winter, George Carlin","English, French, German, Greek, Ancient (to 1453)","Two rock-'n-rolling teens, on the verge of failing their class, set out on a quest to make the ultimate school history report after being presented with a time machine.",https://www.imdb.com/title/tt0096928,90,40485039.0,6.9,83.0,50.0,/tV25lGWGWGEqUe3U0xjQTBgilSx.jpg,/9Ac0H6cdbYolC72KXm8N0DwZc2I.jpg,True,7.0
29,Blade Runner,1982,tt0083658,R,Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young","English, German, Cantonese, Japanese, Hungarian, Arabic, Korean",A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,https://www.imdb.com/title/tt0083658,117,32914489.0,8.1,89.0,84.0,/63N9uy8nd9j7Eog2axPQ8lbr3Wj.jpg,/qr7dUqleMRd0VgollazbmyP9XjI.jpg,True,4.0
30,Blade Runner 2049,2017,tt1856101,R,Denis Villeneuve,"Harrison Ford, Ryan Gosling, Ana de Armas","English, Finnish, Japanese, Hungarian, Russian, Somali, Spanish","Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",https://www.imdb.com/title/tt1856101,164,92071675.0,8.0,88.0,81.0,/gajva2L0rPYkEWjzgFlBXCAVBE5.jpg,/ilRyazdMJwN05exqhwK4tMKBYZs.jpg,True,7.0
31,Born in Flames,1983,tt0085267,Not Rated,Lizzie Borden,"Honey, Adele Bertei, Jean Satterfield","English, French","Set ten years after the most peaceful revolution in United States history, it presents a dystopia in which the issues of many groups - minorities, liberals, gay rights organizations, feminists - are dealt with by the government.",https://www.imdb.com/title/tt0085267,79,,6.5,88.0,,/xAbFfFxbl47PgOC9zXhdoGZMFYx.jpg,/pC9qonwPXvvPx5kOT48X8U4sOTq.jpg,False,1.0
32,Brazil,1985,tt0088846,R,Terry Gilliam,"Jonathan Pryce, Kim Greist, Robert De Niro",English,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.,https://www.imdb.com/title/tt0088846,132,9929135.0,7.8,98.0,84.0,/li6ABwitsBHg0Ah88HbFfPq1hxM.jpg,/9IYyCLf5NNAQFK9pNtqzEU9HWzM.jpg,True,5.0
33,Brian and Charles,2022,tt13270424,PG,Jim Archer,"David Earl, Chris Hayward, Louise Brealey",English,"After a particularly harsh winter Brian goes into a deep depression; completely isolated and with no one to talk to, Brian does what any sane person would do when faced with such a melancholic situation. He builds a robot.",https://www.imdb.com/title/tt13270424,90,430635.0,6.7,85.0,66.0,/pzP3N9qRo3S91QjfBFWNI0ph0AY.jpg,/sT0c22syDUXXz85Gg0E7dzZzCaA.jpg,True,9.0
